subtype,gene,mwu_stat,p_value,effect_size,mean_in,mean_out,log2fc,is_ppp_gene
Subtype_A,HSD11B1,98.0,0.9968558574395338,0.505050505050505,6.965221839335744,9.361806122436946,-2.396584283101202,True
Subtype_A,PDCD1,110.0,0.9919357147052311,0.4444444444444444,6.3401748932600706,6.611888319751425,-0.2717134264913543,True
Subtype_A,CRH,117.0,0.9866435796771149,0.40909090909090906,7.802767610419107,8.948677973304974,-1.1459103628858678,True
Subtype_A,CD4,118.0,0.9856872127633792,0.4040404040404041,5.952432041316436,6.9687399047593175,-1.016307863442881,True
Subtype_A,NR3C1,123.0,0.9799475402876754,0.3787878787878788,7.198359311730587,9.14325586069345,-1.9448965489628636,True
Subtype_A,PRL,130.0,0.9687171848684646,0.3434343434343434,7.755589933356441,9.2530913668876,-1.49750143353116,True
Subtype_A,ESR2,131.0,0.9667530416894051,0.33838383838383834,7.782880038783631,9.078702090817766,-1.2958220520341346,True
Subtype_A,KISS1R,138.0,0.9499918824650984,0.303030303030303,7.774310446393813,9.065190340269206,-1.2908798938753927,True
Subtype_A,CTLA4,142.0,0.9377432590254284,0.2828282828282829,5.8110236645109,6.663703657766637,-0.8526799932557365,True
Subtype_A,GSTM1,142.0,0.9377344242673883,0.2828282828282829,6.288778198396815,6.990917930501183,-0.7021397321043681,True
Subtype_A,DISC1,143.0,0.9343305598558771,0.2777777777777778,8.244823538788474,8.577150222548433,-0.332326683759959,True
Subtype_A,FKBP5,146.0,0.9232509783966056,0.26262626262626265,7.752734349188383,8.625835065046338,-0.8731007158579551,True
Subtype_A,PRLR,146.0,0.9232509783966056,0.26262626262626265,7.241424722573021,8.841910235367246,-1.6004855127942248,True
Subtype_A,COMT,147.0,0.919454685520489,0.25757575757575757,6.818127754536332,8.978456713301942,-2.16032895876561,True
Subtype_A,MC2R,149.0,0.9108043796865692,0.24747474747474751,7.729095422526701,8.914473872310799,-1.185378449784098,True
Subtype_A,FOXP3,149.0,0.9108145619169545,0.24747474747474751,5.930923280257594,6.7548399266276835,-0.8239166463700895,True
Subtype_A,OXT,150.0,0.9063382898248351,0.24242424242424243,7.659858411434607,8.886989331331144,-1.2271309198965366,True
Subtype_A,GNRH1,150.0,0.9063486343015428,0.24242424242424243,7.7348701142567275,8.339117443786224,-0.6042473295294961,True
Subtype_A,CRHR2,151.0,0.9017092135739433,0.23737373737373735,8.099225085852256,8.790030343992308,-0.6908052581400526,True
Subtype_A,MAOA,152.0,0.8969147475486958,0.23232323232323238,8.176055112830236,8.956493598047963,-0.7804384852177275,True
Subtype_A,ESR1,153.0,0.8919526512334097,0.2272727272727273,7.986869648256908,9.074336634553724,-1.0874669862968158,True
Subtype_A,AVPR1B,154.0,0.8868644230183014,0.2222222222222222,7.229492625725107,8.598262805245096,-1.3687701795199887,True
Subtype_A,POMC,156.0,0.87605193582301,0.21212121212121215,7.286722495927271,9.064270443549558,-1.7775479476222875,True
Subtype_A,KISS1,158.0,0.8645620462287404,0.202020202020202,7.959115639310005,8.681262091585703,-0.7221464522756982,True
Subtype_A,OXTR,167.0,0.8041035382446076,0.15656565656565657,7.501268893645352,8.78719598425996,-1.2859270906146074,True
Subtype_B,IL1B,95.0,0.9934523560286298,0.478021978021978,7.059464862275123,8.774528450520668,-1.7150635882455454,True
Subtype_B,TNF,98.0,0.9917248467136799,0.46153846153846156,6.67395233618904,8.54520796244846,-1.87125562625942,True
Subtype_B,PTGS2,102.5,0.9883537380772447,0.4368131868131868,6.558586253323502,8.607755791709826,-2.049169538386324,True
Subtype_B,AIF1,104.5,0.9865127702917822,0.42582417582417587,6.703482612119673,8.62984566333378,-1.926363051214107,True
Subtype_B,SAA1,106.0,0.9849719737364188,0.41758241758241754,6.342798735449073,8.921693619362447,-2.5788948839133736,True
Subtype_B,IKBKB,106.0,0.9849681136434048,0.41758241758241754,7.015821121229597,9.026588480332457,-2.01076735910286,True
Subtype_B,CCL2,108.5,0.9820676068405074,0.40384615384615385,6.569885645423701,8.633827783151384,-2.0639421377276825,True
Subtype_B,CXCL8,110.0,0.9801002758183418,0.39560439560439564,6.451848062843104,8.669749757190635,-2.217901694347531,True
Subtype_B,STAT3,110.0,0.9801049246335125,0.39560439560439564,6.639066396991069,8.936082089431382,-2.297015692440313,True
Subtype_B,IL17A,110.0,0.9801002758183418,0.39560439560439564,7.1190964032219535,8.763406524887037,-1.6443101216650833,True
